#class tools::histo::h1d
#title Espectro no CsI
#dimension 1
#axis fixed 100 0.005 2.005
#annotation axis_x.title 
#bin_number 102
entries,Sw,Sw2,Sxw0,Sx2w0
4,0.0140891,5.12479e-05,5.12479e-05,1.91424e-07
10,0.166176,0.00307971,0.00307971,6.17295e-05
6,0.225406,0.00851283,0.00851283,0.000323168
10,0.542842,0.0297928,0.0297928,0.00165228
10,0.749736,0.0564414,0.0564414,0.00426631
18,1.66229,0.153962,0.153962,0.0143035
22,2.52551,0.290742,0.290742,0.0335662
26,3.52935,0.479737,0.479737,0.0652977
26,4.04148,0.628972,0.628972,0.0980027
19,3.33574,0.586151,0.586151,0.103086
17,3.32212,0.64993,0.64993,0.127292
26,5.61032,1.21167,1.21167,0.261913
18,4.24025,0.999339,0.999339,0.235632
22,5.61881,1.43567,1.43567,0.366988
22,6.08048,1.68133,1.68133,0.46512
12,3.56176,1.0576,1.0576,0.314162
17,5.33232,1.67308,1.67308,0.525115
13,4.37756,1.47449,1.47449,0.496785
22,7.81071,2.77384,2.77384,0.985364
20,7.48608,2.8026,2.8026,1.04942
15,5.90649,2.32611,2.32611,0.91621
13,5.38842,2.23363,2.23363,0.925966
12,5.22775,2.27771,2.27771,0.992501
17,7.71968,3.50599,3.50599,1.59251
15,7.14683,3.40554,3.40554,1.62297
7,3.49086,1.74101,1.74101,0.868373
10,5.14313,2.64544,2.64544,1.36085
12,6.41465,3.42933,3.42933,1.83354
10,5.54171,3.07122,3.07122,1.70216
16,9.18118,5.2691,5.2691,3.02436
10,5.96387,3.55713,3.55713,2.12186
14,8.56969,5.24607,5.24607,3.2117
8,5.07345,3.21766,3.21766,2.04079
16,10.4649,6.84531,6.84531,4.47806
12,8.09813,5.4653,5.4653,3.68867
12,8.36036,5.82515,5.82515,4.05907
11,7.87994,5.64528,5.64528,4.04463
15,11.0557,8.14895,8.14895,6.00669
11,8.33365,6.31387,6.31387,4.7838
8,6.22017,4.8367,4.8367,3.76124
17,13.5335,10.7744,10.7744,8.57819
8,6.52839,5.32779,5.32779,4.34823
13,10.839,9.03749,9.03749,7.5356
8,6.87139,5.90219,5.90219,5.06985
16,14.0135,12.274,12.274,10.7507
9,8.05958,7.21775,7.21775,6.46415
10,9.1267,8.32984,8.32984,7.60272
9,8.40896,7.85703,7.85703,7.34159
7,6.67813,6.37137,6.37137,6.07898
4,3.88662,3.77668,3.77668,3.67006
3,2.98169,2.96358,2.96358,2.94569
9,9.11554,9.23294,9.23294,9.35222
6,6.19233,6.39088,6.39088,6.59584
6,6.31569,6.64816,6.64816,6.9983
2,2.14919,2.30951,2.30951,2.48179
9,9.82648,10.729,10.729,11.7146
7,7.81747,8.7307,8.7307,9.75091
7,7.94886,9.02661,9.02661,10.2508
1,1.16493,1.35706,1.35706,1.58088
135,158.376,185.799,185.799,217.971
0,0,0,0,0
3,3.6523,4.44646,4.44646,5.41335
0,0,0,0,0
0,0,0,0,0
3,3.826,4.87948,4.87948,6.22309
1,1.29713,1.68254,1.68254,2.18248
1,1.31006,1.71624,1.71624,2.24838
104,138.577,184.65,184.65,246.042
0,0,0,0,0
0,0,0,0,0
1,1.38921,1.92989,1.92989,2.68102
0,0,0,0,0
0,0,0,0,0
7,10.22,14.9212,14.9212,21.785
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1.79,3.2041,3.2041,5.73534
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
2,10.1802,67.95,67.95,510.099
