#class tools::histo::h1d
#title Espectro no CsI
#dimension 1
#axis fixed 100 0.005 2.005
#annotation axis_x.title 
#bin_number 102
entries,Sw,Sw2,Sxw0,Sx2w0
2,0.0085026,3.67361e-05,3.67361e-05,1.61185e-07
10,0.114419,0.00151896,0.00151896,2.29777e-05
14,0.523613,0.0199789,0.0199789,0.000775088
14,0.745414,0.040295,0.040295,0.00221229
15,1.15619,0.0896794,0.0896794,0.00699618
14,1.34298,0.129242,0.129242,0.0124765
14,1.61086,0.185783,0.185783,0.0214769
22,2.95214,0.396808,0.396808,0.0534264
27,4.1975,0.653356,0.653356,0.101821
17,2.9839,0.524254,0.524254,0.0921985
19,3.73075,0.733256,0.733256,0.144254
18,3.92581,0.856604,0.856604,0.186992
20,4.73115,1.11997,1.11997,0.265307
27,6.86809,1.74809,1.74809,0.445196
22,6.00787,1.64135,1.64135,0.448606
24,7.07248,2.08514,2.08514,0.61504
32,10.066,3.16722,3.16722,0.996831
26,8.7295,2.93161,2.93161,0.984748
23,8.19522,2.92061,2.92061,1.04104
15,5.60325,2.0936,2.0936,0.782442
15,5.92388,2.34,2.34,0.924528
10,4.16709,1.73688,1.73688,0.724123
16,6.9497,3.01915,3.01915,1.31182
20,9.11139,4.15142,4.15142,1.89176
13,6.15232,2.912,2.912,1.37848
16,7.94469,3.94543,3.94543,1.95961
18,9.28644,4.79184,4.79184,2.47304
23,12.3551,6.63744,6.63744,3.5661
22,12.2403,6.8112,6.8112,3.79072
14,8.03809,4.61535,4.61535,2.65023
16,9.50077,5.64203,5.64203,3.35082
18,11.0739,6.8136,6.8136,4.19273
16,10.1717,6.46695,6.46695,4.11191
10,6.53727,4.27407,4.27407,2.79471
11,7.41359,4.99677,4.99677,3.36802
6,4.14982,2.87034,2.87034,1.98547
8,5.69892,4.05984,4.05984,2.89228
12,8.81588,6.4771,6.4771,4.75912
11,8.30546,6.27134,6.27134,4.73569
10,7.73808,5.98807,5.98807,4.63404
18,14.3223,11.3966,11.3966,9.06912
8,6.52287,5.31879,5.31879,4.33725
5,4.17857,3.49224,3.49224,2.91877
12,10.257,8.76757,8.76757,7.49485
18,15.7315,13.7496,13.7496,12.0179
7,6.27227,5.62043,5.62043,5.03653
13,11.8812,10.8591,10.8591,9.92535
11,10.2986,9.64228,9.64228,9.02808
14,13.3831,12.7939,12.7939,12.2313
13,12.653,12.3156,12.3156,11.9877
15,14.9555,14.9116,14.9116,14.8684
9,9.11677,9.2352,9.2352,9.35533
16,16.5605,17.1411,17.1411,17.7426
15,15.8489,16.7461,16.7461,17.6943
16,17.1492,18.3815,18.3815,19.7031
4,4.37666,4.78901,4.78901,5.24044
6,6.66798,7.41053,7.41053,8.236
5,5.68848,6.47191,6.47191,7.36339
8,9.23325,10.6569,10.6569,12.3004
14,16.4288,19.2792,19.2792,22.6247
6,7.2033,8.64797,8.64797,10.3824
5,6.07519,7.38167,7.38167,8.9692
7,8.63282,10.6468,10.6468,13.1311
3,3.78062,4.76438,4.76438,6.00414
6,7.62203,9.68277,9.68277,12.301
1,1.29902,1.68744,1.68744,2.19201
115,151.561,199.749,199.749,263.261
38,50.478,67.0536,67.0536,89.0722
1,1.35618,1.83923,1.83923,2.49432
2,2.76386,3.81947,3.81947,5.27824
5,6.97371,9.7266,9.7266,13.5663
1,1.42379,2.02719,2.02719,2.8863
0,0,0,0,0
0,0,0,0,0
1,1.47731,2.18245,2.18245,3.22417
111,166.239,248.968,248.968,372.873
37,55.8083,84.1776,84.1776,126.968
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1.6044,2.5741,2.5741,4.12989
0,0,0,0,0
4,6.55244,10.7336,10.7336,17.5828
4,6.60792,10.9162,10.9162,18.0334
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
